id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
57,0.54356,0.6497,0,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",9.5367431640625e-07,0.03125,none,512,"tensor([20.2405,  3.5459])","tensor([18.2995,  3.7961])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_57,100364571,50
26,0.9685,0.9539,38,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",3.0517578125e-05,0.5,none,512,"tensor([3.2946, 5.1324])","tensor([3.2954, 5.2477])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_26,100364571,50
23,0.92814,0.95,26,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",3.0517578125e-05,0.03125,none,2048,"tensor([5.8609, 5.0023])","tensor([5.7854, 4.9423])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_23,100364571,50
85,0.1821,0.2521,0,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",3.0517578125e-05,0.125,none,0,"tensor([6.8247, 2.2833])","tensor([1.9132, 2.9778])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_85,100364571,50
69,0.54744,0.6227,0,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",9.5367431640625e-07,0.125,none,512,"tensor([21.1240,  3.5250])","tensor([18.1206,  3.7377])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_69,100364571,50
9,0.89708,0.9564,31,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",9.5367431640625e-07,0.5,none,512,"tensor([17.4570,  5.2808])","tensor([16.9410,  6.9338])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_9,100364571,50
61,0.34598,0.3327,2,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",9.5367431640625e-07,0.5,none,0,"tensor([15.9253,  3.0385])","tensor([16.1644,  1.9301])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_61,100364571,50
58,0.56298,0.6403,0,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",9.5367431640625e-07,0.03125,none,2048,"tensor([17.7113,  3.5821])","tensor([17.5039,  3.8323])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_58,100364571,50
55,0.57128,0.6472,0,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",9.5367431640625e-07,0.03125,none,0,"tensor([17.5135,  3.5268])","tensor([17.8234,  3.8479])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_55,100364571,50
32,0.95814,0.9545,44,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",3.0517578125e-05,0.125,none,512,"tensor([5.0588, 5.2673])","tensor([4.9325, 6.5749])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_32,100364571,50
5,0.85812,0.9499,35,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",9.5367431640625e-07,0.03125,none,2048,"tensor([12.1850,  5.0841])","tensor([12.2023,  5.0199])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_5,100364571,50
0,0.94686,0.9527,42,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",9.5367431640625e-07,0.03125,none,0,"tensor([10.3294,  5.0219])","tensor([10.4960,  5.0259])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_0,100364571,50
64,0.4841,0.4833,0,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",9.5367431640625e-07,0.5,none,2048,"tensor([17.0141,  3.5007])","tensor([16.4133,  2.6909])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_64,100364571,50
6,0.61278,0.6892,9,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",9.5367431640625e-07,0.5,none,0,"tensor([0.4684, 2.8487])","tensor([0.5521, 3.2683])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_6,100364571,50
86,0.56948,0.6298,0,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",3.0517578125e-05,0.125,none,512,"tensor([21.6626,  3.5745])","tensor([18.2136,  3.3003])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_86,100364571,50
67,0.524,0.5521,0,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",9.5367431640625e-07,0.125,none,0,"tensor([16.5588,  3.6110])","tensor([16.5488,  3.9493])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_67,100364571,50
45,0.93068,0.9447,47,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",3.814697265625e-06,0.5,none,512,"tensor([11.9789,  5.0707])","tensor([11.6833,  5.3035])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_45,100364571,50
